,long_name,player_positions,overall,value_eur,age,club_position,preferred_foot,weak_foot,skill_moves,international_reputation,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure
2107,Sebastian Andersson,ST,74,4200000.0,29,LS,Right,2,2,1,54.0,73.0,54.0,69.0,31.0,76.0,32,77,81,71,73,69,39,42,39,73,53,55,63,75,55,74,72,70,81,66,72,25,78,62,65,70
2116,Rubén Sobrino Pozuelo,"ST, RM",74,4200000.0,29,SUB,Right,4,3,1,78.0,76.0,62.0,72.0,37.0,66.0,58,76,70,69,74,71,71,57,50,77,79,78,72,69,62,78,66,60,69,77,68,32,74,62,66,65
2128,Opa Nguette,"LW, RW, ST",74,4600000.0,26,SUB,Right,3,4,1,85.0,67.0,67.0,76.0,40.0,63.0,68,66,58,70,55,77,62,55,62,76,88,82,81,72,71,70,71,62,68,66,51,31,75,69,70,72
2163,Kieffer Roberto Francisco Moore,ST,74,4300000.0,28,ST,Right,3,3,1,77.0,71.0,56.0,67.0,47.0,82.0,58,74,84,58,68,68,62,45,55,72,75,79,52,71,50,77,73,73,90,58,73,42,73,54,67,68
2166,Mbwana Ally Samatta,ST,74,4300000.0,28,RES,Right,4,3,1,80.0,71.0,66.0,71.0,31.0,73.0,69,69,75,76,76,71,65,57,45,70,81,80,75,72,69,77,88,75,74,67,65,18,76,63,69,75
2171,Simeon Tochukwu Nwankwo,ST,74,4200000.0,29,LS,Right,3,2,1,59.0,77.0,45.0,61.0,29.0,78.0,29,81,82,57,78,60,45,36,39,60,53,63,69,79,36,75,32,63,90,66,79,22,82,46,77,71
2172,Ignacio Pussetto,"ST, RM",74,6000000.0,25,ST,Right,4,3,1,78.0,73.0,63.0,77.0,25.0,60.0,65,76,67,70,64,80,43,42,62,76,79,77,76,71,69,74,71,67,66,67,33,12,78,58,69,70
2175,Arnaldo Antonio Sanabria Ayala,ST,74,6500000.0,25,RF,Right,4,4,1,73.0,72.0,70.0,75.0,32.0,62.0,67,75,74,73,67,73,73,64,63,77,72,74,82,73,75,74,77,65,71,65,32,21,78,72,69,75
2176,Mbaye Diagne,ST,74,4200000.0,29,SUB,Right,4,2,1,64.0,76.0,57.0,62.0,29.0,73.0,56,78,83,61,68,61,67,48,45,70,65,64,41,73,39,81,61,59,88,70,55,19,77,60,72,74
2179,Ezequiel Ponce Martínez,ST,74,6500000.0,24,SUB,Right,3,3,1,77.0,73.0,60.0,74.0,37.0,68.0,59,76,75,65,67,74,68,57,50,73,78,76,75,73,76,76,79,74,74,65,45,29,75,57,66,70
2180,Douglas Willian da Silva Souza,ST,74,4900000.0,27,ST,Left,3,2,1,50.0,76.0,54.0,62.0,32.0,78.0,29,77,79,73,70,65,48,64,39,66,50,50,38,74,36,82,51,72,93,69,53,19,80,54,65,69
2189,Lucas Ariel Boyé,"ST, LW, CAM",74,6500000.0,25,RS,Right,2,4,1,73.0,72.0,61.0,77.0,47.0,79.0,60,74,72,63,65,81,65,36,57,78,72,73,71,71,68,73,75,68,85,68,78,50,73,67,66,67
2195,Joelinton Cassio Apolinário de Lira,"ST, LM",74,6000000.0,24,SUB,Right,3,3,1,76.0,70.0,62.0,73.0,43.0,79.0,44,70,75,75,65,75,52,38,58,74,74,77,69,72,66,81,76,73,82,62,78,45,72,69,61,72
2196,Smail Prevljak,ST,74,5500000.0,26,RS,Right,3,3,1,70.0,77.0,61.0,70.0,23.0,76.0,62,82,65,63,72,69,64,59,57,73,67,73,71,73,59,75,70,76,76,71,75,16,79,57,66,75
2203,Steve Michel Mounié,ST,74,5500000.0,26,ST,Right,3,2,2,64.0,73.0,62.0,68.0,45.0,80.0,60,74,84,68,68,68,52,41,59,74,61,66,58,69,52,76,92,70,84,68,77,42,76,64,66,70
2204,Kevin Lasagna,ST,74,4300000.0,28,SUB,Left,3,3,2,87.0,70.0,60.0,75.0,29.0,63.0,60,69,71,66,72,74,66,42,50,76,85,89,80,76,72,76,75,66,69,66,40,30,79,58,66,74
2216,Daniele Verde,"RW, LW, ST",74,5500000.0,25,RW,Left,3,4,1,84.0,73.0,67.0,79.0,36.0,47.0,69,68,46,65,60,77,81,77,60,78,84,84,89,72,92,85,38,67,33,77,58,24,70,70,71,71
2218,Pere Milla Peña,"ST, CAM, LM",74,4300000.0,28,SUB,Left,2,3,1,76.0,74.0,68.0,76.0,37.0,63.0,69,76,69,74,62,79,63,58,60,76,79,74,78,70,66,77,51,77,65,72,45,32,72,66,62,65
2224,Ianis Hagi,CF,74,9500000.0,22,SUB,Right,5,4,1,76.0,71.0,74.0,76.0,36.0,68.0,71,70,60,75,66,76,80,68,72,75,78,75,85,71,69,71,47,84,67,74,57,32,72,76,67,71
2226,Gianluca Scamacca,ST,74,9500000.0,22,SUB,Right,3,4,2,70.0,75.0,54.0,69.0,33.0,70.0,22,76,74,69,72,70,68,68,45,76,67,72,61,62,54,77,82,54,83,71,55,24,77,59,68,65
2230,Florian Sotoca,ST,74,4100000.0,30,RS,Right,3,3,1,80.0,71.0,68.0,70.0,42.0,80.0,70,73,75,69,70,69,61,63,65,73,77,83,73,74,53,74,88,88,78,65,71,38,76,68,68,72
2242,Lukas Nmecha,ST,74,8500000.0,22,SUB,Right,4,3,1,82.0,73.0,64.0,75.0,39.0,78.0,58,73,63,71,66,76,58,48,58,78,78,86,72,72,63,76,79,80,79,68,71,36,72,68,81,71
2278,Taiwo Michael Awoniyi,"ST, RW",74,6500000.0,23,RS,Right,2,3,1,78.0,73.0,60.0,70.0,32.0,76.0,57,76,71,71,64,72,55,35,56,69,79,77,70,73,70,78,79,66,80,65,77,33,72,53,68,63
2285,Adam Ounas,"RW, RM, CAM",74,6000000.0,24,SUB,Left,4,4,1,84.0,66.0,71.0,79.0,44.0,64.0,68,64,51,75,66,80,72,62,65,78,87,82,89,62,80,70,61,72,55,69,79,47,69,75,60,65
2288,Grady Diangana,"LW, LM, RW",74,9500000.0,23,RW,Left,3,4,1,83.0,62.0,68.0,76.0,27.0,57.0,72,66,37,73,48,80,53,49,55,74,87,79,78,68,79,55,52,66,56,67,48,27,65,71,50,60
2293,Landry Nany Dimata,ST,74,6500000.0,23,RS,Right,3,3,1,77.0,73.0,64.0,70.0,40.0,77.0,63,73,75,72,70,70,45,40,60,70,78,77,72,66,67,81,76,67,83,65,76,30,75,66,77,71
2294,Abdülkadir Ömür,"RW, CAM, RM",74,8500000.0,22,SUB,Left,3,4,1,83.0,66.0,70.0,81.0,39.0,56.0,63,64,50,74,67,83,78,69,62,76,84,82,92,67,92,73,53,74,48,67,52,37,65,73,55,67
2295,Thomas Henry,ST,74,5500000.0,26,ST,Right,3,2,1,61.0,73.0,65.0,66.0,39.0,79.0,51,79,80,73,69,63,45,59,61,73,53,67,53,75,48,74,64,75,86,57,72,25,79,73,82,76
2319,Fedor Chalov,ST,74,6500000.0,23,ST,Right,4,3,1,75.0,72.0,67.0,75.0,33.0,63.0,63,74,67,74,73,74,61,38,60,76,76,75,75,77,72,72,62,76,67,68,36,44,77,74,71,81
2324,Christian Michael Kouamé Kouakou,"ST, CF",74,6500000.0,23,SUB,Right,4,3,1,83.0,71.0,63.0,76.0,39.0,65.0,58,76,74,70,66,79,52,45,58,77,81,84,76,69,65,72,94,63,70,60,50,36,76,66,61,68
2326,Mario González Gutiérrez,"ST, RM",74,6500000.0,25,SUB,Right,3,3,1,72.0,73.0,62.0,74.0,22.0,64.0,66,78,73,64,71,75,44,38,59,74,69,74,73,70,68,75,73,73,68,68,41,16,82,69,39,69
2334,Sam Lammers,ST,74,6000000.0,24,SUB,Left,5,4,1,75.0,75.0,61.0,77.0,34.0,66.0,58,77,72,67,66,80,65,45,43,75,76,75,78,71,66,72,72,71,70,74,49,36,74,71,77,73
2338,Edward Nketiah,ST,74,8500000.0,22,SUB,Right,3,3,1,83.0,72.0,55.0,74.0,24.0,61.0,43,77,67,66,69,74,54,38,45,73,85,82,80,77,72,72,73,68,59,62,52,19,78,58,68,68
2343,Luther Wesley Singh,"LW, RW",74,6500000.0,23,LM,Right,4,3,1,88.0,70.0,67.0,77.0,38.0,43.0,67,72,54,70,65,76,73,67,62,72,90,87,90,72,93,73,46,70,33,64,34,43,77,62,68,73
2347,Randal Kolo Muani,"ST, RW, LW",74,9500000.0,22,LS,Right,3,3,1,82.0,69.0,60.0,77.0,31.0,61.0,37,72,75,73,64,81,62,54,62,78,84,81,78,70,52,71,73,67,69,63,31,22,74,60,62,69
2355,Ermedin Demirović,ST,74,8500000.0,23,SUB,Right,3,3,1,68.0,74.0,61.0,71.0,37.0,73.0,59,76,68,69,67,72,65,37,48,73,68,68,65,74,66,80,71,67,77,68,71,23,77,65,63,66
2356,Emmanuel Bonaventure Dennis,"ST, RW, LW",74,6500000.0,23,ST,Right,3,4,1,88.0,72.0,60.0,76.0,38.0,68.0,67,73,74,64,66,76,62,41,58,74,91,85,88,77,80,78,94,71,63,68,68,13,69,54,56,67
2357,Halil Akbunar,"RW, LW",74,4500000.0,27,RW,Left,4,3,1,87.0,67.0,70.0,77.0,38.0,58.0,72,69,37,72,52,78,74,58,66,74,89,85,86,69,91,66,45,83,45,70,60,35,66,71,53,66
2358,Abel Ruiz Ortega,ST,74,9500000.0,21,ST,Right,3,4,1,74.0,74.0,60.0,73.0,38.0,67.0,36,76,64,73,71,74,58,48,63,75,73,75,70,72,64,75,70,72,73,73,46,24,77,63,64,69
2361,Georgios Giakoumakis,ST,74,5500000.0,26,ST,Right,3,2,1,70.0,75.0,48.0,68.0,28.0,78.0,36,80,78,58,75,68,57,36,35,69,66,73,64,75,64,78,77,71,82,64,77,17,72,52,74,70
2363,Dennis Man,RW,74,9500000.0,22,RW,Left,3,4,1,86.0,72.0,68.0,75.0,48.0,70.0,70,77,68,67,65,72,64,66,64,75,88,85,87,68,81,69,66,81,66,68,68,47,71,70,62,72
2371,Ignatius Kpene Ganago,"ST, RW, LW",74,6500000.0,22,LS,Right,3,3,1,82.0,74.0,58.0,75.0,34.0,68.0,62,76,65,66,60,76,59,40,54,75,81,83,78,67,79,79,68,69,76,69,48,45,75,48,66,70
2372,Timothy Tarpeh Weah,"ST, RM",74,8500000.0,21,SUB,Right,3,3,2,87.0,71.0,67.0,76.0,45.0,61.0,62,73,67,71,71,75,64,45,63,75,86,88,87,74,71,70,69,60,65,69,52,44,76,72,60,70
2381,Bryan Mbeumo,"RW, ST, CF",74,9500000.0,21,RS,Left,2,4,1,83.0,73.0,69.0,74.0,37.0,63.0,72,72,52,69,77,73,69,66,64,72,84,82,89,71,75,77,59,76,60,69,53,29,78,72,63,63
2385,이강인 Kang-In Lee,"ST, CAM, RM",74,9500000.0,20,SUB,Left,3,4,1,72.0,75.0,75.0,79.0,30.0,54.0,70,75,65,76,74,80,76,81,72,78,71,73,81,73,87,76,36,46,60,77,55,29,77,78,70,69
2399,Ander Barrenetxea Muguruza,"LW, ST, RW",74,9000000.0,19,SUB,Right,4,4,1,80.0,69.0,62.0,79.0,24.0,53.0,70,73,60,66,66,81,64,26,53,76,84,77,85,67,84,70,80,64,51,62,35,17,71,64,59,74
2402,Gonzalo Jordy Plata Jiménez,RW,74,9500000.0,20,SUB,Left,3,4,1,85.0,66.0,65.0,79.0,43.0,64.0,68,65,41,68,71,79,76,52,46,77,86,85,88,73,80,70,51,69,63,65,61,40,73,71,60,78
2410,Norberto Bercique Gomes Betuncal,ST,74,8500000.0,23,SUB,Right,3,2,1,71.0,74.0,54.0,68.0,24.0,78.0,40,75,72,62,69,74,59,42,57,73,69,73,42,73,34,76,59,74,85,69,70,18,76,55,70,68
2414,Giacomo Raspadori,ST,74,10500000.0,21,ST,Right,5,4,2,77.0,74.0,63.0,77.0,26.0,53.0,43,76,69,77,65,77,62,60,52,79,82,73,77,74,85,71,60,62,51,71,45,18,77,67,76,69
2419,Mostafa Mohamed Ahmed Abdallah,ST,74,8500000.0,23,SUB,Right,4,2,1,70.0,75.0,57.0,69.0,38.0,79.0,52,76,81,64,65,69,65,47,50,73,67,72,65,65,62,80,90,75,86,72,63,38,77,57,64,64
2420,Terem Igobor Moffi,ST,74,9500000.0,22,RS,Left,3,2,2,74.0,74.0,53.0,70.0,24.0,75.0,49,77,73,64,68,73,59,36,41,71,70,78,59,69,56,77,77,67,86,68,57,15,73,47,65,66
2423,Luis Henrique Tomaz de Lima,"RW, LM",74,9000000.0,19,SUB,Right,3,3,1,84.0,69.0,71.0,74.0,37.0,69.0,78,69,67,74,59,78,59,41,63,75,86,83,73,60,64,76,54,72,77,68,49,24,69,75,63,67
2425,Tiago Barreiros de Melo Tomás,ST,74,9000000.0,19,SUB,Right,3,3,1,77.0,70.0,56.0,74.0,37.0,72.0,42,73,67,69,63,74,65,33,52,76,79,76,73,75,64,73,63,77,75,61,61,40,80,54,70,66
2428,Ivan Schranz,"ST, RM",74,4600000.0,27,SUB,Right,3,2,1,83.0,76.0,63.0,70.0,30.0,73.0,53,76,72,66,75,70,66,60,57,70,81,85,70,70,72,78,73,78,73,76,65,27,74,70,65,71
2438,Robert Snodgrass,"RW, RM, CM",73,1900000.0,33,SUB,Left,3,3,1,56.0,75.0,77.0,75.0,47.0,72.0,79,72,44,76,65,75,80,81,75,77,64,50,69,75,67,81,53,70,70,76,82,46,76,76,73,78
2455,Adem Büyük,"ST, LW, CAM",73,1900000.0,33,RS,Right,3,3,1,72.0,73.0,70.0,74.0,29.0,70.0,68,74,73,73,65,72,63,68,66,75,73,71,78,72,86,73,92,73,63,71,76,37,74,71,71,70
2477,David McGoldrick,ST,73,1900000.0,33,LS,Right,3,3,1,65.0,72.0,71.0,76.0,33.0,68.0,63,72,72,76,71,76,68,65,68,77,64,66,69,75,76,72,73,69,72,68,57,25,73,76,78,76
2491,Gianni Bruno,"ST, RM, RW",73,3000000.0,29,RS,Right,3,3,1,75.0,74.0,66.0,73.0,39.0,70.0,65,74,69,68,69,74,63,66,63,72,76,74,73,71,70,75,65,82,69,76,59,36,74,68,68,68
2493,Daniel Nii Tackie Mensah Welbeck,"ST, LW, LM",73,3000000.0,30,LS,Right,3,3,2,71.0,72.0,67.0,72.0,42.0,66.0,69,75,75,66,68,72,61,62,64,72,66,75,72,70,61,76,79,50,70,63,75,32,74,70,68,75
2498,Mame Biram Diouf,"ST, RW",73,1900000.0,33,ST,Right,3,3,2,74.0,71.0,60.0,67.0,55.0,81.0,63,73,79,66,65,66,59,36,44,69,71,77,69,70,60,75,89,80,81,61,78,57,76,66,75,66
2502,Matt Phillips,"RW, RM",73,2900000.0,30,SUB,Right,4,4,1,78.0,70.0,70.0,73.0,43.0,69.0,78,67,54,67,58,74,78,48,65,73,79,78,74,70,68,79,54,67,78,72,54,32,70,73,61,68
2507,Nélson Miguel Castro Oliveira,ST,73,3000000.0,29,SUB,Right,4,3,1,70.0,73.0,65.0,72.0,37.0,75.0,64,71,72,70,74,72,65,47,59,74,64,74,66,70,67,78,66,69,78,71,75,36,77,65,80,72
2509,Junior Stanislas,"LW, LM, RW",73,2500000.0,31,SUB,Right,3,3,1,73.0,71.0,73.0,74.0,36.0,54.0,74,72,43,74,51,75,77,79,67,75,71,75,74,67,64,73,44,63,58,71,36,60,72,72,68,67
2535,Daniel Ginczek,"ST, RW",73,3000000.0,30,RES,Right,4,3,2,64.0,74.0,51.0,66.0,38.0,75.0,31,74,75,64,74,67,49,58,37,70,54,73,54,74,53,82,64,52,87,66,77,29,75,58,76,71
2537,Gaëtan Charbonnier,"ST, CAM",73,2500000.0,32,ST,Right,3,3,2,32.0,75.0,68.0,72.0,37.0,66.0,57,76,77,74,71,74,60,59,59,79,30,33,49,76,50,76,51,56,81,71,47,28,79,78,72,78
2538,Fabian Klos,ST,73,1900000.0,33,RS,Right,4,2,1,63.0,73.0,61.0,61.0,39.0,81.0,46,74,80,69,72,59,56,45,60,67,51,73,41,76,43,78,71,67,91,65,78,29,76,70,80,78
2548,Asier Villalibre Molina,ST,73,6000000.0,23,SUB,Left,3,3,1,75.0,72.0,55.0,68.0,39.0,81.0,46,74,74,68,70,65,60,36,45,73,73,76,72,64,64,81,79,72,91,57,67,31,71,52,73,74
2550,Andre Gray,ST,73,3000000.0,30,SUB,Right,3,3,1,82.0,72.0,61.0,71.0,30.0,72.0,61,74,65,64,68,69,57,44,54,70,79,85,77,73,74,78,72,71,73,62,70,33,75,67,74,72
2555,Borja González Tomás,ST,73,3100000.0,28,ST,Right,4,3,2,45.0,75.0,61.0,65.0,38.0,76.0,52,72,79,69,74,62,68,46,54,75,38,51,61,74,33,84,58,65,90,71,61,23,76,65,72,70
2558,Alfreð Finnbogason,ST,73,2500000.0,32,SUB,Right,4,3,2,55.0,76.0,61.0,72.0,33.0,64.0,37,76,68,70,78,72,56,51,67,74,55,55,64,78,65,76,69,42,75,75,63,20,78,69,85,83
2559,Marvin Ducksch,ST,73,3300000.0,27,ST,Right,3,3,1,71.0,74.0,62.0,67.0,34.0,69.0,66,76,72,70,73,64,74,70,42,72,73,69,64,74,65,74,71,72,73,70,55,29,75,53,70,65
2566,Sergio León Limones,ST,73,2500000.0,32,SUB,Right,4,3,2,74.0,74.0,65.0,75.0,38.0,64.0,61,73,69,70,72,75,74,64,57,75,76,73,77,71,69,80,73,65,63,71,65,35,75,64,72,75
2569,Roberto Inglese,ST,73,3000000.0,29,SUB,Right,3,3,2,51.0,73.0,49.0,67.0,27.0,66.0,39,74,90,65,68,68,67,36,35,73,43,58,50,70,51,78,79,57,79,68,40,19,78,42,72,71
2571,John Guidetti,ST,73,3000000.0,29,SUB,Right,3,4,2,56.0,75.0,67.0,71.0,38.0,71.0,67,73,75,72,76,72,68,77,53,73,54,57,62,73,59,82,68,50,81,72,74,32,73,66,80,75
2575,Nicolai Mick Jørgensen,ST,73,3000000.0,30,ST,Right,3,3,2,65.0,73.0,70.0,71.0,39.0,74.0,64,73,74,74,69,72,69,62,65,73,67,64,64,73,51,76,73,70,80,74,65,31,75,73,68,76
2576,Sonny Kittel,"LW, CAM",73,3100000.0,28,LW,Right,5,4,1,82.0,70.0,73.0,75.0,32.0,56.0,74,68,43,73,64,75,76,75,72,75,78,86,85,67,82,76,72,71,53,73,39,37,64,73,60,61
2582,Clecildo Rafael Martins de Souza Ladislau,ST,73,2500000.0,32,LS,Right,4,3,1,71.0,75.0,60.0,69.0,27.0,68.0,59,73,68,67,75,66,62,65,45,72,70,71,69,70,74,87,75,52,71,70,78,20,75,58,74,70
2586,Mickaël Le Bihan,ST,73,2600000.0,31,SUB,Right,3,3,1,55.0,75.0,59.0,71.0,46.0,72.0,56,78,73,62,68,72,57,59,55,73,61,50,69,70,63,77,80,61,79,69,67,52,78,62,69,71
2588,Christian Lund Gytkjær,ST,73,2600000.0,31,ST,Right,4,3,1,71.0,73.0,57.0,69.0,33.0,74.0,51,75,72,63,65,67,61,55,43,71,69,73,71,73,68,76,80,65,80,64,67,32,76,61,76,74
2592,Andreas Evald Cornelius,ST,73,3100000.0,28,SUB,Left,3,3,2,64.0,73.0,57.0,65.0,35.0,80.0,42,73,80,69,68,64,45,56,51,70,61,67,49,68,62,79,74,64,92,68,72,28,75,59,65,70
2595,Simon Zoller,"ST, RM, LM",73,3000000.0,30,RES,Right,3,3,1,72.0,74.0,65.0,73.0,39.0,65.0,68,77,67,68,72,72,69,55,53,76,75,69,75,72,69,73,64,76,62,69,57,24,76,67,66,71
2599,Valère Germain,"ST, RM",73,2600000.0,31,RM,Right,4,3,2,68.0,74.0,70.0,73.0,39.0,66.0,69,74,73,73,74,70,69,69,64,74,66,69,88,76,70,74,84,76,62,72,61,44,75,72,75,69
2600,Lucas Andersen,"LW, ST",73,3300000.0,26,RES,Right,3,4,1,75.0,69.0,72.0,75.0,36.0,56.0,68,68,50,74,65,74,75,70,68,76,76,74,79,74,73,69,59,71,61,70,24,48,74,74,65,74
2616,Dwight Gayle,ST,73,3000000.0,30,SUB,Right,4,3,1,75.0,74.0,58.0,73.0,28.0,60.0,59,75,68,64,70,71,54,71,53,73,76,75,77,74,80,76,73,65,62,71,46,35,77,48,73,73
2628,Callum Robinson,"ST, LW, LM",73,4000000.0,26,ST,Right,3,3,1,79.0,73.0,65.0,74.0,32.0,61.0,69,76,63,66,62,75,57,55,52,74,77,80,79,74,68,74,47,65,66,69,46,25,74,73,61,68
2651,Branimir Hrgota,"ST, RW",73,3100000.0,28,RS,Left,4,3,1,73.0,73.0,65.0,74.0,27.0,65.0,59,74,68,70,71,76,75,53,53,74,77,69,74,69,67,75,70,71,69,73,45,17,74,70,62,66
2658,Ahmed Hassan Mahgoub,ST,73,3100000.0,28,SUB,Right,3,3,1,54.0,74.0,57.0,69.0,32.0,76.0,30,75,82,69,72,69,69,44,53,71,55,53,71,68,49,79,63,60,85,65,77,39,78,65,74,76
2662,Francisco Sol Ortiz,ST,73,3000000.0,29,SUB,Right,3,3,1,68.0,75.0,56.0,67.0,34.0,70.0,37,76,78,65,69,63,61,62,49,71,67,69,68,73,65,79,86,69,76,72,51,28,75,62,72,69
2665,Lucas Eduardo dos Santos João,ST,73,3300000.0,27,SUB,Right,4,3,1,73.0,73.0,60.0,73.0,27.0,71.0,47,73,72,66,66,78,52,34,59,74,66,79,70,67,43,81,54,59,86,70,52,22,69,74,58,64
2681,Ivan Ricardo Neves Abreu Cavaleiro,"ST, LM, RM",73,3300000.0,27,LM,Right,3,4,1,86.0,72.0,67.0,75.0,39.0,73.0,71,71,64,65,65,76,74,57,60,76,85,86,76,66,76,79,55,74,75,68,71,37,72,71,70,59
2699,Ken Nlata Sema,"LW, LM, LWB",73,3200000.0,27,LM,Left,3,3,1,78.0,66.0,71.0,74.0,60.0,68.0,74,63,37,73,61,76,67,72,64,74,76,79,72,70,77,77,49,72,70,68,64,64,70,72,44,62
2702,Tim Kleindienst,ST,73,4100000.0,25,LS,Right,5,3,1,66.0,75.0,53.0,63.0,33.0,79.0,50,77,75,60,69,65,54,39,45,66,58,72,51,68,45,79,70,81,86,72,61,28,77,55,59,67
2731,Alireza Jahanbakhsh,RW,73,3200000.0,27,RW,Right,4,4,2,77.0,72.0,68.0,76.0,43.0,69.0,70,67,62,71,74,77,64,46,62,76,76,77,78,70,75,84,84,73,66,74,68,42,72,73,58,75
2743,Jean-David Beauguel,ST,73,3000000.0,29,ST,Left,3,3,1,68.0,72.0,52.0,68.0,31.0,79.0,30,75,76,61,68,71,55,44,52,73,67,68,56,71,43,76,54,70,90,65,67,34,75,58,65,65
2756,Joel Julius Ilmari Pohjanpalo,ST,73,3600000.0,26,ST,Right,3,3,1,63.0,74.0,58.0,69.0,26.0,70.0,54,75,75,69,75,69,65,45,45,71,64,63,67,74,66,78,70,64,76,71,62,18,75,52,59,68
2792,Karol Świderski,ST,73,4700000.0,24,ST,Left,3,3,1,68.0,74.0,61.0,71.0,31.0,71.0,50,78,71,70,67,69,61,35,59,75,69,68,72,71,65,73,59,74,75,69,60,33,77,65,69,75
2798,Pedro Nuno Fernandes Ferreira,"ST, LM, LW",73,4000000.0,26,LM,Right,4,3,1,67.0,74.0,76.0,77.0,39.0,64.0,75,73,68,76,71,77,80,76,74,78,68,67,77,76,75,77,67,75,57,74,66,46,76,77,81,65
2804,Florin Andone,ST,73,3100000.0,28,SUB,Right,3,3,2,73.0,71.0,62.0,73.0,51.0,71.0,62,68,75,65,73,70,58,55,53,75,75,72,75,76,68,75,81,65,68,72,81,51,78,67,74,76
2811,Dominic Solanke,ST,73,4700000.0,23,ST,Right,3,3,1,72.0,71.0,62.0,73.0,27.0,74.0,54,73,69,69,70,74,54,42,59,74,69,75,67,72,68,73,72,73,79,66,65,22,74,65,70,68
2840,Jhon Eduard Murillo Romaña,"RW, RWB",73,4000000.0,25,RW,Right,3,3,1,92.0,68.0,62.0,77.0,36.0,49.0,65,67,58,65,52,74,72,38,50,74,91,92,93,73,91,73,70,73,37,67,46,41,70,64,66,71
2846,Karim Onisiwo,"ST, RM, LM",73,3000000.0,29,LS,Right,3,3,2,76.0,69.0,66.0,74.0,51.0,79.0,69,71,66,66,69,78,67,56,62,73,74,78,65,74,67,78,55,74,84,62,81,49,74,66,44,71
2848,Vangelis Pavlidis,"ST, LW",73,6000000.0,22,ST,Right,4,3,1,75.0,73.0,57.0,71.0,42.0,80.0,58,76,73,60,63,72,65,44,54,72,74,76,70,67,70,74,82,83,82,71,70,24,75,55,65,66
2853,Allano Brendon de Souza Lima,"LW, RW",73,3600000.0,26,LW,Left,3,3,1,81.0,64.0,67.0,78.0,47.0,63.0,68,68,53,70,45,81,59,49,64,78,81,81,80,68,66,63,55,75,61,65,55,47,64,67,54,68
2860,Rodrigo Cunha Pereira de Pinho,ST,73,3000000.0,30,RES,Left,3,3,1,65.0,77.0,60.0,73.0,25.0,61.0,49,79,68,65,67,75,67,56,50,76,67,64,65,76,59,76,70,62,70,74,36,19,75,67,77,68
2905,Mitchell van Bergen,"RW, LW",73,4900000.0,21,SUB,Right,5,3,1,93.0,65.0,64.0,75.0,27.0,51.0,69,66,34,64,62,74,74,54,53,72,94,92,93,69,82,65,39,80,40,68,44,23,67,69,42,65
2948,Irvin Cardona,ST,73,4400000.0,23,SUB,Right,3,3,1,73.0,74.0,67.0,72.0,26.0,63.0,56,75,63,74,77,73,68,58,58,74,74,73,70,69,63,78,80,70,71,68,28,24,78,72,72,67
2978,Patrick Cutrone,ST,73,4700000.0,23,LS,Right,3,3,1,72.0,71.0,55.0,71.0,29.0,69.0,48,76,73,64,70,70,66,42,44,73,69,74,68,72,74,72,74,66,72,60,62,14,78,56,68,72
2981,Nahuel Lautaro Bustos,"ST, RM, LM",73,7000000.0,22,SUB,Right,2,3,1,80.0,73.0,66.0,76.0,33.0,68.0,65,73,63,71,63,75,73,61,61,73,79,80,83,73,83,74,70,75,69,72,54,27,77,63,71,77
2986,Ibrahima Niane,"ST, LW, RW",73,7000000.0,22,LS,Right,3,3,1,82.0,74.0,54.0,71.0,20.0,62.0,56,75,75,58,55,74,58,51,44,70,85,80,73,67,54,79,73,65,70,70,36,13,74,54,71,67
2998,Lukáš Juliš,ST,73,4000000.0,26,SUB,Right,3,3,1,82.0,71.0,60.0,69.0,29.0,68.0,63,77,70,64,65,69,55,48,54,70,81,83,72,70,56,71,73,69,68,62,67,22,77,60,54,70
2999,M'Bala Nzola,"ST, RW",73,4400000.0,24,SUB,Left,4,3,1,86.0,70.0,59.0,68.0,29.0,75.0,52,74,70,68,60,68,62,44,62,71,83,89,65,69,60,70,71,69,86,62,58,29,74,49,70,71
3008,Mohamed Lamine Bayo,ST,73,6000000.0,23,ST,Right,2,2,1,72.0,75.0,60.0,73.0,25.0,60.0,57,77,63,63,71,75,69,51,46,75,72,72,69,74,55,76,59,62,68,69,38,23,75,66,73,72
3021,Daniel Gómez Alcón,ST,73,4900000.0,22,SUB,Right,3,3,1,78.0,74.0,60.0,73.0,37.0,63.0,49,76,62,68,62,74,56,45,57,74,75,81,71,68,65,79,64,68,71,68,38,31,75,64,66,72
3025,Enrique Gallego Puigsech,ST,73,1500000.0,34,ST,Left,3,3,1,57.0,76.0,56.0,67.0,25.0,70.0,43,79,79,65,62,68,50,43,45,73,62,52,48,70,55,77,67,55,82,70,60,20,77,65,73,74
3026,Junior Fashion Sakala,"ST, LW",73,4700000.0,24,SUB,Right,2,3,1,88.0,76.0,57.0,73.0,31.0,68.0,59,78,68,62,60,74,53,49,48,72,89,87,79,64,77,82,90,80,66,73,53,35,71,58,68,69
